O*NET-SOC Code,O*NET-SOC Title,Job Zone,First Interest Area,Second Interest Area,Third Interest Area,Shown in Fewer Occupations
RC,2,47-2021.00,Brickmasons and Blockmasons,,,
RC,2,53-6011.00,Bridge and Lock Tenders,,,
RCS,2,53-3051.00,Bus Drivers,School,,
RCS,2,53-3052.00,Bus Drivers,Transit and Intercity,,
RC,2,51-3021.00,Butchers and Meat Cutters,,,
RC,2,51-7011.00,Cabinetmakers and Bench Carpenters,,,
RC,2,47-2031.00,Carpenters,,,
RC,2,47-2041.00,Carpet Installers,,,
RCI,2,51-9011.00,Chemical Equipment Operators and Tenders,,,
RCI,2,51-8091.00,Chemical Plant and System Operators,,,
RC,2,53-7061.00,Cleaners of Vehicles and Equipment,,,
RC,2,51-9192.00,Cleaning,Washing,and Metal Pickling Equipment Operators and Tenders,
RC,2,51-9124.00,Coating,Painting,and Spraying Machine Setters,
RC,2,51-2021.00,Coil Winders,Tapers,and Finishers,
RC,2,49-9091.00,Coin,Vending,and Amusement Machine Servicers and Repairers,
RC,2,51-9161.00,Computer Numerically Controlled Tool Operators,,,
RC,2,47-2061.00,Construction Laborers,,,
RC,2,47-5041.00,Continuous Mining Machine Operators,,,
RC,2,35-2012.00,Cooks,Institution and Cafeteria,,
RCE,2,35-2014.00,Cooks,Restaurant,,
RCE,2,35-2015.00,Cooks,Short Order,,
RC,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,,,
RCS,2,33-3012.00,Correctional Officers and Jailers,,,
RC,2,39-4012.00,Crematory Operators,,,
RC,2,33-9091.00,Crossing Guards and Flaggers,,,
RC,2,51-9021.00,Crushing,Grinding,and Polishing Machine Setters,
RC,2,51-9032.00,Cutting and Slicing Machine Setters,Operators,and Tenders,
RC,2,51-4031.00,Cutting,Punching,and Press Machine Setters,
RIC,2,51-9081.00,Dental Laboratory Technicians,,,
RC,2,53-7031.00,Dredge Operators,,,
RC,2,51-4032.00,Drilling and Boring Machine Tool Setters,Operators,and Tenders,
RCE,2,53-3031.00,Driver/Sales Workers,,,
RC,2,47-2081.00,Drywall and Ceiling Tile Installers,,,
RCI,2,47-5023.00,Earth Drillers,Except Oil and Gas,,
RCI,2,51-2022.00,Electrical and Electronic Equipment Assemblers,,,
RC,2,49-9051.00,Electrical Power-Line Installers and Repairers,,,
RCI,2,51-2023.00,Electromechanical Equipment Assemblers,,,
RCI,2,31-9099.02,Endoscopy Technicians,,,
RC,2,51-2031.00,Engine and Other Machine Assemblers,,,
RCA,2,51-9194.00,Etchers and Engravers,,,
RC,2,47-5022.00,Excavating and Loading Machine and Dragline Operators,Surface Mining,,
RCI,2,47-5032.00,Explosives Workers,Ordnance Handling Experts,and Blasters,
RC,2,51-4021.00,Extruding and Drawing Machine Setters,Operators,and Tenders,
RC,2,51-6091.00,Extruding and Forming Machine Setters,Operators,and Tenders,
RC,2,51-9041.00,Extruding,Forming,Pressing,
R,2,45-2093.00,Farmworkers,Farm,Ranch,
RC,2,47-4031.00,Fence Erectors,,,
RC,2,51-2051.00,Fiberglass Laminators and Fabricators,,,
RC,2,47-2042.00,Floor Layers,Except Carpet,Wood,
RAC,2,27-1023.00,Floral Designers,,,
RC,2,51-3091.00,Food and Tobacco Roasting,Baking,and Drying Machine Operators and Tenders,
RC,2,51-3092.00,Food Batchmakers,,,
RC,2,51-3093.00,Food Cooking Machine Operators and Tenders,,,
RC,2,35-2021.00,Food Preparation Workers,,,
RSC,2,35-3041.00,Food Servers,Nonrestaurant,,
RC,2,45-4011.00,Forest and Conservation Workers,,,
RC,2,51-4022.00,Forging Machine Setters,Operators,and Tenders,
RC,2,51-4071.00,Foundry Mold and Coremakers,,,
RSC,2,39-4021.00,Funeral Attendants,,,
RC,2,51-9051.00,Furnace,Kiln,Oven,
RCA,2,51-7021.00,Furniture Finishers,,,
RC,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators,,,
RC,2,51-8092.00,Gas Plant Operators,,,
RCI,2,49-9099.01,Geothermal Technicians,,,
RC,2,51-9195.04,Glass Blowers,Molders,Benders,
RC,2,47-2121.00,Glaziers,,,
RC,2,51-9022.00,Grinding and Polishing Workers,Hand,,
RC,2,51-4033.00,Grinding,Lapping,Polishing,
RC,2,51-4191.00,Heat Treating Equipment Setters,Operators,and Tenders,
RC,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,,,
RC,2,47-3011.00,Helpers--Brickmasons,Blockmasons,Stonemasons,
RC,2,47-3012.00,Helpers--Carpenters,,,
RC,2,47-3013.00,Helpers--Electricians,,,
RC,2,47-5081.00,Helpers--Extraction Workers,,,
RC,2,49-9098.00,Helpers--Installation,Maintenance,and Repair Workers,
RC,2,47-3015.00,Helpers--Pipelayers,Plumbers,Pipefitters,
RC,2,51-9198.00,Helpers--Production Workers,,,
RC,2,47-3016.00,Helpers--Roofers,,,
RC,2,47-4051.00,Highway Maintenance Workers,,,
RC,2,53-7041.00,Hoist and Winch Operators,,,
RC,2,49-9031.00,Home Appliance Repairers,,,
RC,2,53-7051.00,Industrial Truck and Tractor Operators,,,
RCI,2,51-9061.00,Inspectors,Testers,Sorters,
RC,2,47-2131.00,Insulation Workers,Floor,Ceiling,
RC,2,47-2132.00,Insulation Workers,Mechanical,,
RC,2,53-7062.00,Laborers and Freight,Stock,and Material Movers,
RC,2,51-4034.00,Lathe and Turning Machine Tool Setters,Operators,and Tenders,
RC,2,51-4192.00,Layout Workers,Metal and Plastic,,
RSC,2,33-9092.00,Lifeguards,Ski Patrol,and Other Recreational Protective Service Workers,
RC,2,53-3033.00,Light Truck Drivers,,,
RC,2,47-5044.00,Loading and Moving Machine Operators,Underground Mining,,
RC,2,49-9094.00,Locksmiths and Safe Repairers,,,
RCI,2,53-4011.00,Locomotive Engineers,,,
RC,2,53-7063.00,Machine Feeders and Offbearers,,,
RC,2,39-5092.00,Manicurists and Pedicurists,,,
RC,2,49-9095.00,Manufactured Building and Mobile Home Installers,,,
RC,2,49-9011.00,Mechanical Door Repairers,,,
RCI,2,31-9093.00,Medical Equipment Preparers,,,
RC,2,51-4051.00,Metal-Refining Furnace Operators and Tenders,,,
RC,2,51-4035.00,Milling and Planing Machine Setters,Operators,and Tenders,
RC,2,49-9044.00,Millwrights,,,
RC,2,51-9023.00,Mixing and Blending Machine Setters,Operators,and Tenders,
RC,2,51-9195.00,Molders,Shapers,and Casters,
RC,2,51-4072.00,Molding,Coremaking,and Casting Machine Setters,
RC,2,39-3021.00,Motion Picture Projectionists,,,
RCE,2,53-5022.00,Motorboat Operators,,,
RC,2,51-4081.00,Multiple Machine Tool Setters,Operators,and Tenders,
RIC,2,17-3029.01,Non-Destructive Testing Specialists,,,
RCI,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators,,,
RC,2,51-9083.00,Ophthalmic Laboratory Technicians,,,
RCS,2,31-1132.00,Orderlies,,,
RC,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,,,
RC,2,51-9111.00,Packaging and Filling Machine Operators and Tenders,,,
RC,2,47-2141.00,Painters,Construction and Maintenance,,
RC,2,51-9196.00,Paper Goods Machine Setters,Operators,and Tenders,
RCA,2,47-2142.00,Paperhangers,,,
RC,2,53-6021.00,Parking Attendants,,,
RC,2,33-3041.00,Parking Enforcement Workers,,,
RC,2,47-2071.00,Paving,Surfacing,and Tamping Equipment Operators,
RC,2,37-2021.00,Pest Control Workers,,,
RC,2,37-3012.00,Pesticide Handlers,Sprayers,and Applicators,
RC,2,51-8093.00,Petroleum Pump System Operators,Refinery Operators,and Gaugers,
RCA,2,51-9151.00,Photographic Process Workers and Processing Machine Operators,,,
RC,2,47-2072.00,Pile Driver Operators,,,
RC,2,47-2151.00,Pipelayers,,,
RC,2,51-4193.00,Plating Machine Setters,Operators,and Tenders,
RC,2,51-4052.00,Pourers and Casters,Metal,,
RC,2,51-8013.00,Power Plant Operators,,,
RC,2,51-5113.00,Print Binding and Finishing Workers,,,
RC,2,53-7072.00,Pump Operators,Except Wellhead Pumpers,,
RC,2,49-3043.00,Rail Car Repairers,,,
RC,2,53-4013.00,Rail Yard Engineers,Dinkey Operators,and Hostlers,
RC,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,,,
RC,2,53-4022.00,Railroad Brake,Signal,and Switch Operators and Locomotive Firers,
RCE,2,53-4031.00,Railroad Conductors and Yardmasters,,,
RC,2,49-3092.00,Recreational Vehicle Service Technicians,,,
RC,2,53-7062.04,Recycling and Reclamation Workers,,,
RC,2,49-9045.00,Refractory Materials Repairers,Except Brickmasons,,
RC,2,53-7081.00,Refuse and Recyclable Material Collectors,,,
RC,2,47-2171.00,Reinforcing Iron and Rebar Workers,,,
RC,2,49-9096.00,Riggers,,,
RC,2,51-4023.00,Rolling Machine Setters,Operators,and Tenders,
RC,2,47-5043.00,Roof Bolters,Mining,,
RC,2,47-2181.00,Roofers,,,
RC,2,47-5012.00,Rotary Drill Operators,Oil and Gas,,
RC,2,53-5011.00,Sailors and Marine Oilers,,,
RC,2,51-7041.00,Sawing Machine Setters,Operators,and Tenders,
RC,2,33-9032.00,Security Guards,,,
RC,2,47-4091.00,Segmental Pavers,,,
RC,2,51-9141.00,Semiconductor Processing Technicians,,,
RC,2,51-9012.00,Separating,Filtering,Clarifying,
RC,2,47-5013.00,Service Unit Operators,Oil and Gas,,
RSC,2,39-5093.00,Shampooers,,,
RC,2,47-2211.00,Sheet Metal Workers,,,
RA,2,51-6041.00,Shoe and Leather Workers and Repairers,,,
RC,2,51-6042.00,Shoe Machine Operators and Tenders,,,
RCS,2,53-3053.00,Shuttle Drivers and Chauffeurs,,,
RC,2,51-3023.00,Slaughterers and Meat Packers,,,
RC,2,47-2231.00,Solar Photovoltaic Installers,,,
RAC,2,51-9195.03,Stone Cutters and Carvers,Manufacturing,,
RC,2,47-2221.00,Structural Iron and Steel Workers,,,
RC,2,51-2041.00,Structural Metal Fabricators and Fitters,,,
RC,2,53-4041.00,Subway and Streetcar Operators,,,
RA,2,51-6052.00,Tailors,Dressmakers,and Custom Sewers,
RC,2,53-7121.00,Tank Car,Truck,and Ship Loaders,
RC,2,47-2082.00,Tapers,,,
RC,2,53-3054.00,Taxi Drivers,,,
RCE,2,51-2092.00,Team Assemblers,,,
RC,2,49-9052.00,Telecommunications Line Installers and Repairers,,,
RC,2,47-2053.00,Terrazzo Workers and Finishers,,,
RC,2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,,,
RC,2,51-6062.00,Textile Cutting Machine Setters,Operators,and Tenders,
RC,2,51-6063.00,Textile Knitting and Weaving Machine Setters,Operators,and Tenders,
RC,2,51-6064.00,Textile Winding,Twisting,and Drawing Out Machine Setters,
RC,2,47-2044.00,Tile and Stone Setters,,,
RC,2,51-2061.00,Timing Device Assemblers and Adjusters,,,
RC,2,51-9197.00,Tire Builders,,,
RC,2,49-3093.00,Tire Repairers and Changers,,,
RC,2,51-4194.00,Tool Grinders,Filers,and Sharpeners,
RCI,2,53-6051.07,Transportation Vehicle,Equipment and Systems Inspectors,Except Aviation,
RC,2,37-3013.00,Tree Trimmers and Pruners,,,
RAC,2,51-6093.00,Upholsterers,,,
RIC,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,,,
RC,2,47-4099.03,Weatherization Installers and Technicians,,,
RC,2,51-4121.00,Welders,Cutters,Solderers,
RC,2,51-4122.00,Welding,Soldering,and Brazing Machine Setters,
RC,2,53-7073.00,Wellhead Pumpers,,,
RC,2,51-7042.00,Woodworking Machine Setters,Operators,and Tenders,
RCI,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,,,
RIC,3,19-4012.00,Agricultural Technicians,,,
RCI,3,49-3011.00,Aircraft Mechanics and Service Technicians,,,
RCA,3,17-3011.00,Architectural and Civil Drafters,,,
RC,3,27-4011.00,Audio and Video Technicians,,,
RC,3,49-2097.00,Audiovisual Equipment Installers and Repairers,,,
RIC,3,17-3027.01,Automotive Engineering Technicians,,,
RCI,3,49-3023.00,Automotive Service Technicians and Mechanics,,,
RCI,3,49-2091.00,Avionics Technicians,,,
RCE,3,33-3011.00,Bailiffs,,,
RCE,3,39-5011.00,Barbers,,,
RC,3,47-2011.00,Boilermakers,,,
RCI,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,,,
RCI,3,17-3028.00,Calibration Technologists and Technicians,,,
RC,3,49-9061.00,Camera and Photographic Equipment Repairers,,,
RCE,3,53-5021.00,Captains,Mates,and Pilots of Water Vessels,
RIC,3,29-2031.00,Cardiovascular Technologists and Technicians,,,
RIC,3,17-3022.00,Civil Engineering Technologists and Technicians,,,
RIC,3,49-9092.00,Commercial Divers,,,
RCE,3,53-2012.00,Commercial Pilots,,,
RC,3,49-2011.00,Computer,Automated Teller,and Office Machine Repairers,
RCI,3,47-4011.00,Construction and Building Inspectors,,,
RC,3,49-9012.00,Control and Valve Installers and Repairers,Except Mechanical Door,,
RCS,3,35-2013.00,Cooks,Private Household,,
RC,3,53-7021.00,Crane and Tower Operators,,,
RCI,3,29-2032.00,Diagnostic Medical Sonographers,,,
RC,3,49-2092.00,Electric Motor,Power Tool,and Related Repairers,
RIC,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,,,
RC,3,17-3012.00,Electrical and Electronics Drafters,,,
RCI,3,49-2093.00,Electrical and Electronics Installers and Repairers,Transportation Equipment,,
RCI,3,49-2094.00,Electrical and Electronics Repairers,Commercial and Industrial Equipment,,
RCI,3,49-2095.00,Electrical and Electronics Repairers,Powerhouse,Substation,
RC,3,47-2111.00,Electricians,,,
RCI,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,,,
RCI,3,49-2096.00,Electronic Equipment Installers and Repairers,Motor Vehicles,,
RC,3,47-4021.00,Elevator and Escalator Installers and Repairers,,,
RCS,3,39-4011.00,Embalmers,,,
RAC,3,51-6092.00,Fabric and Apparel Patternmakers,,,
RCI,3,49-3041.00,Farm Equipment Mechanics and Service Technicians,,,
RCI,3,33-2021.00,Fire Inspectors and Investigators,,,
R,3,33-2011.00,Firefighters,,,
RCI,3,19-4013.00,Food Science Technicians,,,
RCI,3,19-4071.00,Forest and Conservation Technicians,,,
RC,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists,,,
RC,3,51-9071.06,Gem and Diamond Workers,,,
RCE,3,11-3051.02,Geothermal Production Managers,,,
RCS,3,39-5012.00,Hairdressers,Hairstylists,and Cosmetologists,
RC,3,47-4041.00,Hazardous Materials Removal Workers,,,
RC,3,49-9021.00,Heating,Air Conditioning,and Refrigeration Mechanics and Installers,
RIC,3,29-2012.01,Histology Technicians,,,
RCI,3,51-8013.04,Hydroelectric Plant Technicians,,,
RCE,3,11-3051.06,Hydroelectric Production Managers,,,
RCI,3,19-4044.00,Hydrologic Technicians,,,
RCI,3,17-3026.00,Industrial Engineering Technologists and Technicians,,,
RCI,3,49-9041.00,Industrial Machinery Mechanics,,,
RC,3,37-2011.00,Janitors and Cleaners,Except Maids and Housekeeping Cleaners,,
RAC,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,,,
RC,3,27-4015.00,Lighting Technicians,,,
RCI,3,51-4041.00,Machinists,,,
RCI,3,29-2035.00,Magnetic Resonance Imaging Technologists,,,
RC,3,49-9071.00,Maintenance and Repair Workers,General,,
RC,3,49-9043.00,Maintenance Workers,Machinery,,
RCI,3,17-3013.00,Mechanical Drafters,,,
RIC,3,17-3027.00,Mechanical Engineering Technologists and Technicians,,,
RIC,3,29-2012.00,Medical and Clinical Laboratory Technicians,,,
RIC,3,51-9082.00,Medical Appliance Technicians,,,
RCI,3,49-9062.00,Medical Equipment Repairers,,,
RCI,3,49-3042.00,Mobile Heavy Equipment Mechanics,Except Engines,,
RC,3,51-4061.00,Model Makers,Metal and Plastic,,
RCA,3,51-7031.00,Model Makers,Wood,,
RC,3,49-3051.00,Motorboat Mechanics and Service Technicians,,,
RCI,3,49-3052.00,Motorcycle Mechanics,,,
RAC,3,49-9063.00,Musical Instrument Repairers and Tuners,,,
RIC,3,29-2033.00,Nuclear Medicine Technologists,,,
RCI,3,19-4051.02,Nuclear Monitoring Technicians,,,
RC,3,51-8011.00,Nuclear Power Reactor Operators,,,
RCI,3,19-4051.00,Nuclear Technicians,,,
RCI,3,19-5012.00,Occupational Health and Safety Technicians,,,
RCI,3,29-2057.00,Ophthalmic Medical Technicians,,,
RIC,3,29-2099.05,Ophthalmic Medical Technologists,,,
RCA,3,51-4062.00,Patternmakers,Metal and Plastic,,
RCA,3,51-7032.00,Patternmakers,Wood,,
RCI,3,31-9097.00,Phlebotomists,,,
RA,3,27-4021.00,Photographers,,,
RCI,3,17-3029.08,Photonics Technicians,,,
RC,3,47-2152.00,Plumbers,Pipefitters,and Steamfitters,
RCE,3,33-3051.00,Police and Sheriff's Patrol Officers,,,
RC,3,51-9195.05,Potters,Manufacturing,,
RC,3,51-8012.00,Power Distributors and Dispatchers,,,
RIC,3,19-4012.01,Precision Agriculture Technicians,,,
RSI,3,29-1124.00,Radiation Therapists,,,
RCI,3,49-2021.00,Radio,Cellular,and Tower Equipment Installers and Repairers,
RCI,3,29-2034.00,Radiologic Technologists and Technicians,,,
RCI,3,17-3024.01,Robotics Technicians,,,
RCI,3,49-2098.00,Security and Fire Alarm Systems Installers,,,
RCE,3,53-5031.00,Ship Engineers,,,
RC,3,49-9097.00,Signal and Track Switch Repairers,,,
RS,3,39-5094.00,Skincare Specialists,,,
REC,3,47-1011.03,Solar Energy Installation Managers,,,
RC,3,47-2152.04,Solar Thermal Installers and Technicians,,,
RAC,3,27-4014.00,Sound Engineering Technicians,,,
RCI,3,51-8021.00,Stationary Engineers and Boiler Operators,,,
R,3,47-2022.00,Stonemasons,,,
RCS,3,29-9093.00,Surgical Assistants,,,
RCS,3,29-2055.00,Surgical Technologists,,,
RCI,3,17-3031.00,Surveying and Mapping Technicians,,,
RC,3,49-2022.00,Telecommunications Equipment Installers and Repairers,Except Line Installers,,
RC,3,51-4111.00,Tool and Die Makers,,,
RCI,3,53-6041.00,Traffic Technicians,,,
RC,3,33-3052.00,Transit and Railroad Police,,,
RIC,3,29-2056.00,Veterinary Technologists and Technicians,,,
RC,3,49-9064.00,Watch and Clock Repairers,,,
RC,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators,,,
RCI,3,49-9081.00,Wind Turbine Service Technicians,,,
RCE,4,53-2011.00,Airline Pilots,Copilots,and Flight Engineers,
RIC,4,17-2141.02,Automotive Engineers,,,
RIC,4,19-4021.00,Biological Technicians,,,
RIC,4,17-2041.00,Chemical Engineers,,,
RIC,4,17-2051.00,Civil Engineers,,,
RIC,4,17-2061.00,Computer Hardware Engineers,,,
RIC,4,17-2071.00,Electrical Engineers,,,
RIC,4,17-2072.00,Electronics Engineers,Except Computer,,
RIC,4,17-2199.03,Energy Engineers,Except Wind and Solar,,
RIC,4,17-3025.00,Environmental Engineering Technologists and Technicians,,,
RIS,4,29-1128.00,Exercise Physiologists,,,
RIC,4,17-2111.02,Fire-Prevention and Protection Engineers,,,
RCI,4,33-3031.00,Fish and Game Wardens,,,
RIC,4,19-1032.00,Foresters,,,
RIC,4,17-2141.01,Fuel Cell Engineers,,,
RCI,4,17-1022.01,Geodetic Surveyors,,,
RCI,4,19-4043.00,Geological Technicians,Except Hydrologic Technicians,,
RIA,4,17-1012.00,Landscape Architects,,,
RIC,4,17-2112.03,Manufacturing Engineers,,,
RIC,4,17-2121.00,Marine Engineers and Naval Architects,,,
RIC,4,17-2131.00,Materials Engineers,,,
RIC,4,17-2141.00,Mechanical Engineers,,,
RIC,4,17-2199.05,Mechatronics Engineers,,,
RIC,4,17-2151.00,Mining and Geological Engineers,Including Mining Safety Engineers,,
RC,4,25-4013.00,Museum Technicians and Conservators,,,
RIC,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians,,,
RIC,4,17-2171.00,Petroleum Engineers,,,
RIE,4,19-1031.02,Range Managers,,,
RCI,4,19-4099.03,Remote Sensing Technicians,,,
RIC,4,17-2199.08,Robotics Engineers,,,
RIC,4,17-2199.11,Solar Energy Systems Engineers,,,
RIC,4,17-2051.01,Transportation Engineers,,,
RIC,4,17-2051.02,Water/Wastewater Engineers,,,
RIC,4,17-2199.10,Wind Energy Engineers,,,
RAI,5,17-1011.00,Architects,Except Landscape and Naval,,
RIS,5,29-2091.00,Orthotists and Prosthetists,,,
RIS,5,29-1024.00,Prosthodontists,,,
RI,5,29-1131.00,Veterinarians,,,
SR,5,25-2059.01,Adapted Physical Education Specialists,,,
IR,5,19-3091.00,Anthropologists and Archeologists,,,
IR,5,19-2011.00,Astronomers,,,
SRI,5,29-9091.00,Athletic Trainers,,,
SRI,5,29-1011.00,Chiropractors,,,
IRC,5,29-2011.02,Cytotechnologists,,,
IRS,5,29-1021.00,Dentists,General,,
IRS,5,29-1213.00,Dermatologists,,,
IRC,5,19-2041.02,Environmental Restoration Planners,,,
IRC,5,19-2042.00,Geoscientists,Except Hydrologists and Geographers,,
IRC,5,17-2112.01,Human Factors Engineers and Ergonomists,,,
IRC,5,17-2199.06,Microsystems Engineers,,,
SRI,5,29-1151.00,Nurse Anesthetists,,,
IRC,5,29-1023.00,Orthodontists,,,
IRS,5,29-1242.00,Orthopedic Surgeons,Except Pediatric,,
IR,5,19-1013.00,Soil and Plant Scientists,,,
RIC,2,51-9081.00,Dental Laboratory Technicians,,,
RIC,2,17-3029.01,Non-Destructive Testing Specialists,,,
SIC,2,31-1133.00,Psychiatric Aides,,,
RIC,2,31-9096.00,"Veterinary Assistants and Laboratory Animal Caretakers 
Bright Outlook",,,
RCI,2,45-2011.00,Agricultural Inspectors,,,
RCI,2,33-9011.00,Animal Control Workers,,,
RCI,2,51-8099.01,Biofuels Processing Technicians,,,
RCI,2,51-9011.00,Chemical Equipment Operators and Tenders,,,
RCI,2,51-8091.00,Chemical Plant and System Operators,,,
RCI,2,47-5023.00,Earth Drillers,Except Oil and Gas,,
RCI,2,51-2022.00,Electrical and Electronic Equipment Assemblers,,,
RCI,2,51-2023.00,Electromechanical Equipment Assemblers,,,
RCI,2,31-9099.02,Endoscopy Technicians,,,
RCI,2,47-5032.00,Explosives Workers,Ordnance Handling Experts,and Blasters,
RCI,2,49-9099.01,Geothermal Technicians,,,
RCI,2,51-9061.00,Inspectors,Testers,Sorters,
RCI,2,53-4011.00,Locomotive Engineers,,,
RCI,2,31-9093.00,Medical Equipment Preparers,,,
RCI,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators,,,
RCI,2,53-6051.07,Transportation Vehicle,Equipment and Systems Inspectors,Except Aviation,
IRC,3,19-4031.00,Chemical Technicians,,,
IC,3,15-1211.00,Computer Systems Analysts,,,
ICR,3,15-1299.08,Computer Systems Engineers/Architects,,,
ICR,3,13-1041.06,Coroners,,,
ICR,3,33-3021.00,Detectives and Criminal Investigators,,,
ICR,3,19-4092.00,Forensic Science Technicians,,,
IRC,3,29-2099.01,Neurodiagnostic Technologists,,,
RIC,3,29-2031.00,Cardiovascular Technologists and Technicians,,,
RIC,3,17-3022.00,Civil Engineering Technologists and Technicians,,,
RIC,3,49-9092.00,Commercial Divers,,,
RIC,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,,,
CIS,3,29-9021.00,Health Information Technologists and Medical Registrars,,,
SIC,3,29-2092.00,Hearing Aid Specialists,,,
RIC,3,51-9082.00,Medical Appliance Technicians,,,
CIE,3,23-2011.00,Paralegals and Legal Assistants,,,
RIC,3,19-4012.01,Precision Agriculture Technicians,,,
SI,3,29-2053.00,Psychiatric Technicians,,,
CIR,3,19-4099.01,Quality Control Analysts,,,
RIC,3,29-2056.00,Veterinary Technologists and Technicians,,,
CI,3,15-1254.00,Web Developers,,,
IRC,4,17-2011.00,Aerospace Engineers,,,
IRC,4,17-2021.00,Agricultural Engineers,,,
IRC,4,19-2021.00,Atmospheric and Space Scientists,,,
IR,4,17-2031.00,Bioengineers and Biomedical Engineers,,,
IER,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,,
ICR,4,15-2099.01,Bioinformatics Technicians,,,
IRC,4,19-2031.00,Chemists,,,
ICE,4,11-9121.01,Clinical Research Coordinators,,,
ICR,4,15-1241.00,Computer Network Architects,,,
IRC,4,19-1031.00,Conservation Scientists,,,
IRC,4,29-2011.01,Cytogenetic Technologists,,,
IC,4,15-2051.00,Data Scientists,,,
IC,4,15-1299.06,Digital Forensics Analysts,,,
IRC,4,17-2081.00,Environmental Engineers,,,
IRC,4,19-4042.00,Environmental Science and Protection Technicians,Including Health,,
IRC,4,19-2041.00,Environmental Scientists and Specialists,Including Health,,
IRC,4,19-1012.00,Food Scientists and Technologists,,,
IR,4,19-3092.00,Geographers,,,
IRC,4,17-2111.00,Health and Safety Engineers,Except Mining Safety Engineers and Inspectors,,
IRC,4,29-2011.04,Histotechnologists,,,
