O*NET-SOC Code,Title,Artistic,Conventional,Enterprising,First Interest High-Point,Investigative,Realistic,Second Interest High-Point,Social,Third Interest High-Point,Job Family
11-9081.00,Lodging Managers,1.45,5.31,6.29,5.0,1.17,2.45,6.0,4.22,4.0,Management
11-9111.00,Medical and Health Services Managers,1.32,5.63,5.65,5.0,3.85,2.15,6.0,4.24,4.0,Management
11-9121.00,Natural Sciences Managers,2.51,4.19,5.63,2.0,5.73,3.04,5.0,2.97,6.0,Management
11-9121.01,Clinical Research Coordinators,1.53,5.04,4.27,2.0,5.74,1.98,6.0,3.57,5.0,Management
11-9121.02,Water Resource Specialists,1.78,4.17,3.53,2.0,5.8,4.45,1.0,2.58,6.0,Management
11-9131.00,Postmasters and Mail Superintendents,1.07,5.94,6.0,5.0,1.16,2.08,6.0,3.37,4.0,Management
11-9141.00,"Property, Real Estate, and Community Association Managers",1.75,5.36,6.77,5.0,2.22,3.14,6.0,3.49,0.0,Management
11-9151.00,Social and Community Service Managers,2.34,4.55,7.0,5.0,2.15,1.0,4.0,5.35,6.0,Management
11-9161.00,Emergency Management Directors,1.78,4.66,4.99,5.0,4.56,3.6,6.0,4.0,2.0,Management
11-9171.00,Funeral Home Managers,1.86,4.76,6.51,5.0,2.04,2.99,6.0,4.38,4.0,Management
11-9179.01,Fitness and Wellness Coordinators,2.12,3.66,5.4,4.0,2.79,2.98,5.0,5.62,0.0,Management
11-9179.02,Spa Managers,1.53,5.67,7.0,5.0,1.16,2.51,6.0,3.93,4.0,Management
11-9199.01,Regulatory Affairs Managers,1.25,6.05,6.41,5.0,2.84,1.75,6.0,2.64,0.0,Management
11-9199.02,Compliance Managers,1.0,6.3,5.93,6.0,2.98,1.92,5.0,3.1,0.0,Management
11-9199.08,Loss Prevention Managers,1.0,5.64,5.63,6.0,3.71,3.79,5.0,2.7,0.0,Management
11-9199.09,Wind Energy Operations Managers,1.0,5.24,6.47,5.0,3.04,4.16,6.0,2.34,1.0,Management
11-9199.10,Wind Energy Development Managers,1.66,4.82,6.71,5.0,3.86,3.44,6.0,2.38,0.0,Management
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,1.46,4.69,4.54,6.0,4.31,4.49,5.0,2.03,1.0,Management
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.52,3.9,6.35,5.0,1.65,1.0,4.0,4.01,6.0,Business and Financial Operations
13-1021.00,"Buyers and Purchasing Agents, Farm Products",1.03,4.86,4.86,5.0,1.8,4.68,6.0,1.7,1.0,Business and Financial Operations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",1.58,5.15,5.2,5.0,1.9,3.41,6.0,2.43,1.0,Business and Financial Operations
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.12,5.69,4.99,6.0,1.91,3.39,5.0,1.93,1.0,Business and Financial Operations
13-1031.00,"Claims Adjusters, Examiners, and Investigators",1.0,6.24,4.8,6.0,3.4,1.11,5.0,2.63,2.0,Business and Financial Operations
13-1032.00,"Insurance Appraisers, Auto Damage",1.12,5.46,3.6,6.0,3.03,5.05,1.0,1.7,5.0,Business and Financial Operations
13-1041.00,Compliance Officers,1.0,6.32,4.06,6.0,3.05,2.58,5.0,2.95,0.0,Business and Financial Operations
13-1041.01,Environmental Compliance Inspectors,1.05,5.84,3.21,6.0,4.77,4.57,2.0,2.35,1.0,Business and Financial Operations
13-1041.03,Equal Opportunity Representatives and Officers,1.73,5.21,5.37,5.0,3.01,1.23,6.0,4.24,4.0,Business and Financial Operations
13-1041.04,Government Property Inspectors and Investigators,1.0,6.26,4.2,6.0,3.32,3.09,5.0,2.41,0.0,Business and Financial Operations
13-1041.06,Coroners,1.52,4.81,3.92,2.0,4.86,4.08,6.0,3.13,1.0,Business and Financial Operations
13-1041.07,Regulatory Affairs Specialists,1.0,6.32,4.46,6.0,3.33,1.48,5.0,2.46,2.0,Business and Financial Operations
13-1041.08,Customs Brokers,1.0,6.13,5.07,6.0,1.53,2.43,5.0,2.2,0.0,Business and Financial Operations
13-1051.00,Cost Estimators,1.05,6.44,4.71,6.0,3.25,3.1,5.0,1.66,0.0,Business and Financial Operations
13-1071.00,Human Resources Specialists,1.44,5.5,5.75,5.0,2.49,1.07,6.0,3.78,4.0,Business and Financial Operations
13-1074.00,Farm Labor Contractors,1.0,4.39,4.99,5.0,1.54,4.85,1.0,3.24,6.0,Business and Financial Operations
13-1075.00,Labor Relations Specialists,1.65,4.66,5.68,5.0,3.0,1.26,6.0,3.83,4.0,Business and Financial Operations
13-1081.00,Logisticians,1.05,5.58,5.1,6.0,3.83,2.39,5.0,2.35,2.0,Business and Financial Operations
13-1081.01,Logistics Engineers,1.06,5.73,3.59,6.0,5.46,4.0,2.0,1.21,1.0,Business and Financial Operations
13-1081.02,Logistics Analysts,1.0,6.84,4.41,6.0,3.98,3.22,5.0,1.55,2.0,Business and Financial Operations
13-1082.00,Project Management Specialists,1.58,5.56,6.36,5.0,2.76,1.46,6.0,3.35,0.0,Business and Financial Operations
13-1111.00,Management Analysts,1.58,6.13,4.76,6.0,5.46,1.58,2.0,2.77,5.0,Business and Financial Operations
13-1121.00,"Meeting, Convention, and Event Planners",2.44,5.27,7.0,5.0,1.43,1.0,6.0,4.52,4.0,Business and Financial Operations
13-1131.00,Fundraisers,3.26,4.13,5.98,5.0,1.99,1.0,4.0,4.18,6.0,Business and Financial Operations
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",1.28,5.96,5.11,6.0,3.5,1.43,5.0,3.27,2.0,Business and Financial Operations
13-1151.00,Training and Development Specialists,3.09,3.93,3.76,4.0,3.92,1.97,6.0,5.66,2.0,Business and Financial Operations
13-1161.00,Market Research Analysts and Marketing Specialists,2.56,4.62,5.52,5.0,4.6,1.07,6.0,2.48,2.0,Business and Financial Operations
13-1161.01,Search Marketing Strategists,3.23,4.69,5.53,5.0,3.81,1.0,6.0,2.7,2.0,Business and Financial Operations
13-1199.04,Business Continuity Planners,1.65,5.1,5.31,5.0,4.41,2.04,6.0,3.06,2.0,Business and Financial Operations
13-1199.05,Sustainability Specialists,2.5,4.41,5.09,2.0,5.2,2.06,5.0,2.95,6.0,Business and Financial Operations
13-1199.06,Online Merchants,1.58,6.25,5.86,6.0,1.5,2.34,5.0,2.37,0.0,Business and Financial Operations
13-1199.07,Security Management Specialists,1.68,5.64,3.6,6.0,5.12,3.91,2.0,1.98,1.0,Business and Financial Operations
13-2011.00,Accountants and Auditors,1.09,7.0,3.86,6.0,3.57,1.14,5.0,2.13,2.0,Business and Financial Operations
13-2022.00,Appraisers of Personal and Business Property,2.03,6.02,4.68,6.0,2.61,3.57,5.0,1.7,1.0,Business and Financial Operations
13-2023.00,Appraisers and Assessors of Real Estate,1.61,5.91,4.81,6.0,2.78,2.72,5.0,2.66,0.0,Business and Financial Operations
13-2031.00,Budget Analysts,1.53,6.92,4.76,6.0,3.81,1.0,5.0,2.2,2.0,Business and Financial Operations
13-2041.00,Credit Analysts,1.0,6.89,4.5,6.0,3.83,1.0,5.0,2.42,2.0,Business and Financial Operations
13-2051.00,Financial and Investment Analysts,1.78,5.54,5.09,6.0,5.06,1.0,5.0,2.25,2.0,Business and Financial Operations
13-2052.00,Personal Financial Advisors,1.74,5.58,5.88,5.0,3.17,1.0,6.0,4.2,4.0,Business and Financial Operations
13-2053.00,Insurance Underwriters,1.0,6.27,4.48,6.0,3.52,1.57,5.0,2.88,2.0,Business and Financial Operations
13-2054.00,Financial Risk Specialists,1.29,5.36,4.92,6.0,4.98,1.68,2.0,2.49,5.0,Business and Financial Operations
13-2061.00,Financial Examiners,1.0,6.16,4.71,6.0,3.54,1.0,5.0,2.7,2.0,Business and Financial Operations
13-2071.00,Credit Counselors,1.8,5.46,4.73,6.0,2.62,1.0,4.0,4.85,5.0,Business and Financial Operations
13-2072.00,Loan Officers,1.0,6.02,5.03,6.0,2.3,1.24,5.0,3.76,4.0,Business and Financial Operations
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.0,6.79,4.36,6.0,2.24,1.29,5.0,3.17,0.0,Business and Financial Operations
13-2082.00,Tax Preparers,1.0,6.62,3.53,6.0,2.36,1.97,5.0,2.42,0.0,Business and Financial Operations
13-2099.01,Financial Quantitative Analysts,1.82,5.88,3.42,2.0,6.6,1.76,6.0,1.61,0.0,Business and Financial Operations
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.11,6.09,4.63,6.0,4.54,1.85,5.0,1.84,2.0,Business and Financial Operations
15-1211.00,Computer Systems Analysts,1.98,5.89,2.26,2.0,6.36,3.34,6.0,1.89,0.0,Computer and Mathematical
15-1211.01,Health Informatics Specialists,1.93,4.74,2.1,2.0,6.23,2.97,6.0,4.63,4.0,Computer and Mathematical
15-1212.00,Information Security Analysts,1.32,6.16,2.82,6.0,5.43,3.61,2.0,2.03,0.0,Computer and Mathematical
15-1221.00,Computer and Information Research Scientists,2.86,4.8,2.42,2.0,7.0,3.94,6.0,2.04,1.0,Computer and Mathematical
15-1231.00,Computer Network Support Specialists,1.0,5.49,2.71,6.0,4.61,4.31,2.0,2.33,1.0,Computer and Mathematical
15-1232.00,Computer User Support Specialists,1.0,5.89,2.31,6.0,3.85,4.06,1.0,3.32,2.0,Computer and Mathematical
15-1241.00,Computer Network Architects,2.24,5.07,3.17,2.0,5.33,4.06,6.0,2.19,1.0,Computer and Mathematical
15-1241.01,Telecommunications Engineering Specialists,1.87,4.95,3.16,6.0,4.36,4.87,1.0,2.08,2.0,Computer and Mathematical
15-1242.00,Database Administrators,1.3,6.57,2.86,6.0,4.76,2.7,2.0,2.28,0.0,Computer and Mathematical
15-1243.00,Database Architects,2.22,5.99,2.75,6.0,5.68,2.69,2.0,1.93,0.0,Computer and Mathematical
15-1243.01,Data Warehousing Specialists,1.62,6.37,3.09,6.0,4.71,2.87,2.0,2.0,0.0,Computer and Mathematical
15-1244.00,Network and Computer Systems Administrators,1.0,6.18,3.47,6.0,4.05,4.2,1.0,2.22,2.0,Computer and Mathematical
15-1251.00,Computer Programmers,2.62,5.8,2.04,6.0,5.18,3.31,2.0,2.01,0.0,Computer and Mathematical
15-1252.00,Software Developers,2.26,5.46,1.87,2.0,5.86,3.93,6.0,1.88,1.0,Computer and Mathematical
15-1253.00,Software Quality Assurance Analysts and Testers,1.69,5.68,1.57,2.0,5.76,3.8,6.0,1.53,1.0,Computer and Mathematical
15-1254.00,Web Developers,3.07,5.09,2.89,6.0,5.06,2.95,2.0,2.24,0.0,Computer and Mathematical
15-1255.00,Web and Digital Interface Designers,4.49,4.39,3.14,2.0,4.87,2.57,3.0,2.21,6.0,Computer and Mathematical
15-1255.01,Video Game Designers,6.42,3.87,4.02,3.0,4.1,2.68,2.0,2.35,5.0,Computer and Mathematical
15-1299.01,Web Administrators,2.28,5.74,3.74,6.0,4.42,2.57,2.0,2.23,5.0,Computer and Mathematical
15-1299.02,Geographic Information Systems Technologists and Technicians,2.31,5.88,1.93,6.0,5.19,4.26,2.0,1.93,1.0,Computer and Mathematical
15-1299.03,Document Management Specialists,1.85,6.75,3.02,6.0,3.81,1.67,2.0,2.39,0.0,Computer and Mathematical
15-1299.04,Penetration Testers,1.28,5.15,2.08,2.0,5.17,3.9,6.0,1.97,1.0,Computer and Mathematical
15-1299.05,Information Security Engineers,1.31,6.04,2.66,6.0,5.51,4.24,2.0,1.85,1.0,Computer and Mathematical
15-1299.06,Digital Forensics Analysts,1.71,6.05,2.7,2.0,6.1,3.18,6.0,1.68,0.0,Computer and Mathematical
15-1299.07,Blockchain Engineers,2.07,5.69,3.39,6.0,5.28,3.4,2.0,1.57,0.0,Computer and Mathematical
15-1299.08,Computer Systems Engineers/Architects,1.97,5.42,2.81,2.0,5.77,4.33,6.0,2.04,1.0,Computer and Mathematical
15-1299.09,Information Technology Project Managers,1.83,5.29,6.02,5.0,3.68,1.72,6.0,2.66,2.0,Computer and Mathematical
15-2011.00,Actuaries,1.18,6.24,3.41,6.0,4.44,1.81,2.0,2.47,5.0,Computer and Mathematical
15-2021.00,Mathematicians,3.23,5.27,1.16,2.0,7.0,3.0,6.0,1.97,0.0,Computer and Mathematical
15-2031.00,Operations Research Analysts,2.14,5.77,3.12,2.0,6.26,1.92,6.0,2.04,0.0,Computer and Mathematical
15-2041.00,Statisticians,1.76,5.93,1.82,2.0,6.63,2.07,6.0,1.69,0.0,Computer and Mathematical
15-2041.01,Biostatisticians,2.65,4.73,1.86,2.0,7.0,2.58,6.0,2.67,0.0,Computer and Mathematical
15-2051.00,Data Scientists,2.59,5.4,1.71,2.0,6.99,2.16,6.0,1.66,0.0,Computer and Mathematical
15-2051.01,Business Intelligence Analysts,1.95,5.61,4.46,6.0,5.46,1.12,2.0,1.88,5.0,Computer and Mathematical
15-2051.02,Clinical Data Managers,1.15,6.87,3.3,6.0,5.71,1.29,2.0,2.55,0.0,Computer and Mathematical
15-2099.01,Bioinformatics Technicians,1.58,6.04,1.0,2.0,6.42,3.81,6.0,1.69,1.0,Computer and Mathematical
17-1011.00,"Architects, Except Landscape and Naval",4.55,4.12,3.45,1.0,4.18,5.21,3.0,2.51,2.0,Architecture and Engineering
17-1012.00,Landscape Architects,4.57,3.71,3.66,1.0,4.69,5.42,2.0,2.63,3.0,Architecture and Engineering
17-1021.00,Cartographers and Photogrammetrists,3.56,5.33,1.63,6.0,5.15,4.61,2.0,1.77,1.0,Architecture and Engineering
17-1022.00,Surveyors,1.77,5.48,1.93,6.0,4.82,5.14,1.0,1.65,2.0,Architecture and Engineering
17-1022.01,Geodetic Surveyors,1.42,5.5,1.64,1.0,5.4,5.63,6.0,1.58,2.0,Architecture and Engineering
17-2011.00,Aerospace Engineers,2.45,4.63,2.58,2.0,6.14,5.37,1.0,1.28,6.0,Architecture and Engineering
17-2021.00,Agricultural Engineers,2.2,3.93,2.59,2.0,6.28,6.17,1.0,1.72,6.0,Architecture and Engineering
17-2031.00,Bioengineers and Biomedical Engineers,2.3,3.78,1.58,2.0,7.0,5.57,1.0,2.91,0.0,Architecture and Engineering
17-2041.00,Chemical Engineers,1.76,4.61,1.83,1.0,5.73,6.28,2.0,1.06,6.0,Architecture and Engineering
17-2051.00,Civil Engineers,2.15,4.63,2.9,1.0,5.11,6.36,2.0,1.79,6.0,Architecture and Engineering
17-2051.01,Transportation Engineers,2.07,4.71,3.04,1.0,4.82,5.57,2.0,1.96,6.0,Architecture and Engineering
17-2051.02,Water/Wastewater Engineers,1.85,4.53,2.9,1.0,5.35,5.62,2.0,1.76,6.0,Architecture and Engineering
17-2061.00,Computer Hardware Engineers,1.84,5.28,1.88,1.0,5.64,5.79,2.0,1.79,6.0,Architecture and Engineering
17-2071.00,Electrical Engineers,2.01,5.01,2.31,1.0,5.31,6.35,2.0,1.57,6.0,Architecture and Engineering
17-2072.00,"Electronics Engineers, Except Computer",2.03,4.68,1.62,1.0,5.8,6.23,2.0,1.59,6.0,Architecture and Engineering
17-2072.01,Radio Frequency Identification Device Specialists,1.4,5.38,1.4,6.0,4.81,5.27,1.0,1.35,2.0,Architecture and Engineering
17-2081.00,Environmental Engineers,2.04,4.29,3.1,2.0,6.11,5.15,1.0,2.21,6.0,Architecture and Engineering
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1.04,4.66,2.26,2.0,5.63,5.32,1.0,2.18,6.0,Architecture and Engineering
17-2111.02,Fire-Prevention and Protection Engineers,1.51,4.27,2.82,1.0,5.28,6.08,2.0,2.96,6.0,Architecture and Engineering
17-2112.00,Industrial Engineers,1.65,5.41,3.52,6.0,4.88,4.7,2.0,1.4,1.0,Architecture and Engineering
17-2112.01,Human Factors Engineers and Ergonomists,2.57,4.24,2.65,2.0,6.22,4.67,1.0,2.2,6.0,Architecture and Engineering
17-2112.02,Validation Engineers,1.45,5.2,2.23,2.0,5.42,4.63,6.0,1.46,1.0,Architecture and Engineering
17-2112.03,Manufacturing Engineers,2.1,4.48,3.06,1.0,4.67,5.18,2.0,1.51,6.0,Architecture and Engineering
17-2121.00,Marine Engineers and Naval Architects,2.34,4.44,3.43,1.0,5.48,5.72,2.0,1.43,6.0,Architecture and Engineering
17-2131.00,Materials Engineers,2.54,4.11,2.06,1.0,5.83,5.89,2.0,1.37,6.0,Architecture and Engineering
17-2141.00,Mechanical Engineers,2.2,4.65,1.76,1.0,5.3,6.6,2.0,1.1,6.0,Architecture and Engineering
17-2141.01,Fuel Cell Engineers,1.62,3.99,2.42,1.0,5.33,5.89,2.0,1.33,6.0,Architecture and Engineering
17-2141.02,Automotive Engineers,2.44,4.11,2.04,1.0,5.7,6.48,2.0,1.29,6.0,Architecture and Engineering
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.53,4.63,2.75,1.0,5.6,6.07,2.0,1.85,6.0,Architecture and Engineering
17-2161.00,Nuclear Engineers,2.07,4.42,2.58,2.0,6.31,5.0,1.0,1.97,6.0,Architecture and Engineering
17-2171.00,Petroleum Engineers,1.91,4.41,2.9,1.0,5.25,5.45,2.0,1.8,6.0,Architecture and Engineering
17-2199.03,"Energy Engineers, Except Wind and Solar",2.05,4.42,3.06,1.0,4.67,5.26,2.0,2.24,6.0,Architecture and Engineering
17-2199.05,Mechatronics Engineers,2.42,4.92,1.6,1.0,5.67,5.86,2.0,1.46,6.0,Architecture and Engineering
17-2199.06,Microsystems Engineers,1.94,4.87,1.31,2.0,6.26,5.62,1.0,1.37,6.0,Architecture and Engineering
17-2199.07,Photonics Engineers,2.73,4.12,1.72,2.0,5.91,5.82,1.0,1.4,6.0,Architecture and Engineering
17-2199.08,Robotics Engineers,1.81,4.57,1.74,1.0,5.79,6.1,2.0,1.43,6.0,Architecture and Engineering
17-2199.09,Nanosystems Engineers,2.43,4.08,2.52,2.0,6.09,5.38,1.0,1.36,6.0,Architecture and Engineering
17-2199.10,Wind Energy Engineers,2.22,4.12,3.12,1.0,4.54,5.9,2.0,1.43,6.0,Architecture and Engineering
17-2199.11,Solar Energy Systems Engineers,2.11,3.96,3.05,1.0,5.02,5.97,2.0,1.9,6.0,Architecture and Engineering
17-3011.00,Architectural and Civil Drafters,4.49,4.9,1.52,1.0,4.22,5.46,6.0,1.53,3.0,Architecture and Engineering
17-3012.00,Electrical and Electronics Drafters,3.28,5.31,1.92,1.0,3.55,5.54,6.0,1.32,0.0,Architecture and Engineering
17-3013.00,Mechanical Drafters,3.8,4.8,1.23,1.0,3.89,5.95,6.0,1.23,2.0,Architecture and Engineering
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,1.0,5.21,1.41,1.0,5.08,6.45,6.0,1.0,2.0,Architecture and Engineering
17-3022.00,Civil Engineering Technologists and Technicians,2.61,5.33,1.92,1.0,5.46,5.82,2.0,1.55,6.0,Architecture and Engineering
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,1.76,5.0,1.32,1.0,5.2,6.24,2.0,1.79,6.0,Architecture and Engineering
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,1.38,4.58,1.0,1.0,4.38,7.0,6.0,1.0,2.0,Architecture and Engineering
17-3024.01,Robotics Technicians,1.0,4.49,1.04,1.0,4.08,6.98,6.0,1.09,2.0,Architecture and Engineering
17-3025.00,Environmental Engineering Technologists and Technicians,1.73,5.08,1.25,1.0,5.91,6.21,2.0,1.5,6.0,Architecture and Engineering
17-3026.00,Industrial Engineering Technologists and Technicians,1.19,5.22,2.39,1.0,5.14,5.38,6.0,1.45,2.0,Architecture and Engineering
17-3026.01,Nanotechnology Engineering Technologists and Technicians,1.45,4.71,1.98,1.0,5.05,6.23,2.0,1.05,6.0,Architecture and Engineering
17-3027.00,Mechanical Engineering Technologists and Technicians,1.98,4.82,1.04,1.0,5.57,6.38,2.0,1.15,6.0,Architecture and Engineering
17-3027.01,Automotive Engineering Technicians,1.39,4.63,1.32,1.0,5.33,7.0,2.0,1.0,6.0,Architecture and Engineering
17-3028.00,Calibration Technologists and Technicians,1.15,5.54,1.0,1.0,4.14,6.31,6.0,1.58,2.0,Architecture and Engineering
17-3029.01,Non-Destructive Testing Specialists,1.25,4.83,1.0,1.0,5.05,6.16,2.0,1.47,6.0,Architecture and Engineering
17-3029.08,Photonics Technicians,1.06,5.12,1.0,1.0,4.26,7.0,6.0,1.0,2.0,Architecture and Engineering
17-3031.00,Surveying and Mapping Technicians,1.91,5.62,1.0,1.0,4.03,5.95,6.0,1.0,2.0,Architecture and Engineering
19-1011.00,Animal Scientists,2.05,3.34,2.22,2.0,6.95,5.25,1.0,2.06,0.0,"Life, Physical, and Social Science"
19-1012.00,Food Scientists and Technologists,2.46,3.96,2.54,2.0,5.69,5.09,1.0,2.14,6.0,"Life, Physical, and Social Science"
19-1013.00,Soil and Plant Scientists,2.11,3.41,1.72,2.0,6.72,6.43,1.0,1.68,0.0,"Life, Physical, and Social Science"
19-1021.00,Biochemists and Biophysicists,2.61,3.61,1.82,2.0,7.0,5.1,1.0,2.16,0.0,"Life, Physical, and Social Science"
19-1022.00,Microbiologists,1.84,3.9,1.19,2.0,7.0,5.34,1.0,2.12,6.0,"Life, Physical, and Social Science"
19-1023.00,Zoologists and Wildlife Biologists,2.24,3.69,2.48,2.0,7.0,5.32,1.0,2.57,0.0,"Life, Physical, and Social Science"
19-1029.01,Bioinformatics Scientists,2.56,5.03,1.27,2.0,7.0,3.74,6.0,1.63,1.0,"Life, Physical, and Social Science"
19-1029.02,Molecular and Cellular Biologists,2.1,4.97,2.34,2.0,6.67,5.0,1.0,2.25,6.0,"Life, Physical, and Social Science"
19-1029.03,Geneticists,3.04,4.41,1.69,2.0,7.0,3.95,6.0,2.96,1.0,"Life, Physical, and Social Science"
19-1029.04,Biologists,2.32,4.5,2.93,2.0,6.97,4.15,6.0,2.56,1.0,"Life, Physical, and Social Science"
19-1031.00,Conservation Scientists,1.97,4.0,3.18,2.0,5.7,5.16,1.0,2.88,6.0,"Life, Physical, and Social Science"
19-1031.02,Range Managers,1.45,3.83,4.43,1.0,4.9,5.7,2.0,2.51,5.0,"Life, Physical, and Social Science"
19-1031.03,Park Naturalists,4.1,3.06,3.38,4.0,4.51,4.23,2.0,4.85,1.0,"Life, Physical, and Social Science"
19-1032.00,Foresters,1.24,4.31,3.78,1.0,4.4,5.32,2.0,2.41,6.0,"Life, Physical, and Social Science"
19-1041.00,Epidemiologists,2.02,3.67,2.48,2.0,7.0,3.18,4.0,4.03,0.0,"Life, Physical, and Social Science"
19-1042.00,"Medical Scientists, Except Epidemiologists",2.3,3.95,2.23,2.0,7.0,4.43,1.0,3.24,6.0,"Life, Physical, and Social Science"
19-2011.00,Astronomers,3.24,3.97,1.99,2.0,7.0,4.85,1.0,2.81,0.0,"Life, Physical, and Social Science"
19-2012.00,Physicists,2.76,4.86,1.82,2.0,7.0,4.95,1.0,2.11,6.0,"Life, Physical, and Social Science"
19-2021.00,Atmospheric and Space Scientists,2.72,4.48,2.69,2.0,6.35,4.82,1.0,2.45,6.0,"Life, Physical, and Social Science"
19-2031.00,Chemists,1.5,4.95,1.6,2.0,6.66,5.66,1.0,1.15,6.0,"Life, Physical, and Social Science"
19-2032.00,Materials Scientists,2.18,4.16,1.9,2.0,6.61,5.77,1.0,1.35,6.0,"Life, Physical, and Social Science"
