O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,Date,Domain Source
11-1021.00,General and Operations Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.a,Realistic,OI,Occupational Interests,1.54,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.b,Investigative,OI,Occupational Interests,3.35,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.c,Artistic,OI,Occupational Interests,2.7,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.d,Social,OI,Occupational Interests,3.69,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.e,Enterprising,OI,Occupational Interests,5.52,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.f,Conventional,OI,Occupational Interests,3.62,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,4,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.07,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.b,Investigative,OI,Occupational Interests,1.71,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.c,Artistic,OI,Occupational Interests,3.85,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.d,Social,OI,Occupational Interests,3.14,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.3,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,3,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.a,Realistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.9,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.c,Artistic,OI,Occupational Interests,2.45,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.d,Social,OI,Occupational Interests,2.82,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.7,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-2021.00,Marketing Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.49,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.b,Investigative,OI,Occupational Interests,1.66,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.31,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.d,Social,OI,Occupational Interests,3.29,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.58,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-2022.00,Sales Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.a,Realistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.35,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.c,Artistic,OI,Occupational Interests,3.68,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.d,Social,OI,Occupational Interests,4.14,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.39,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-2032.00,Public Relations Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.a,Realistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.41,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.c,Artistic,OI,Occupational Interests,2.67,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.d,Social,OI,Occupational Interests,3.75,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.72,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-2033.00,Fundraising Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.59,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.03,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.01,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.d,Social,OI,Occupational Interests,3.71,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.51,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.f,Conventional,OI,Occupational Interests,6.43,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3012.00,Administrative Services Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.93,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.52,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.64,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.d,Social,OI,Occupational Interests,3.59,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.54,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.41,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3013.00,Facilities Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.4,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.71,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.29,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.d,Social,OI,Occupational Interests,2.75,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.6,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.39,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3013.01,Security Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.56,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.b,Investigative,OI,Occupational Interests,4.42,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.5,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.d,Social,OI,Occupational Interests,2.41,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.09,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.72,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3021.00,Computer and Information Systems Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.22,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.45,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.54,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.d,Social,OI,Occupational Interests,2.93,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.7,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3031.00,Financial Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.a,Realistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.b,Investigative,OI,Occupational Interests,2.4,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.c,Artistic,OI,Occupational Interests,1.28,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.d,Social,OI,Occupational Interests,2.7,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.e,Enterprising,OI,Occupational Interests,6.22,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.f,Conventional,OI,Occupational Interests,6.15,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3031.01,Treasurers and Controllers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.66,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.71,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.47,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.d,Social,OI,Occupational Interests,2.56,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.77,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.25,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3031.03,Investment Fund Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,4.23,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.94,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.33,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.83,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.92,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.29,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3051.00,Industrial Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.6,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.b,Investigative,OI,Occupational Interests,4.02,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.17,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.d,Social,OI,Occupational Interests,2.07,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.05,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.7,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3051.01,Quality Control Systems Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.35,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.35,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.d,Social,OI,Occupational Interests,2.07,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.58,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.82,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3051.02,Geothermal Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,4.59,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.74,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.83,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,5.41,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.06,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3051.03,Biofuels Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.12,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.19,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.d,Social,OI,Occupational Interests,1.72,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.86,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.34,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1,11/2023,Machine Learning
11-3051.04,Biomass Power Plant Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.a,Realistic,OI,Occupational Interests,5.37,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.b,Investigative,OI,Occupational Interests,3.64,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.d,Social,OI,Occupational Interests,1.83,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.e,Enterprising,OI,Occupational Interests,4.57,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.02,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,1,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3051.06,Hydroelectric Production Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.04,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.01,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.4,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.d,Social,OI,Occupational Interests,2.77,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.55,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3061.00,Purchasing Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.a,Realistic,OI,Occupational Interests,3.6,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.b,Investigative,OI,Occupational Interests,2.64,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.c,Artistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.d,Social,OI,Occupational Interests,2.39,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.e,Enterprising,OI,Occupational Interests,6,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.f,Conventional,OI,Occupational Interests,5.74,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3071.00,"Transportation, Storage, and Distribution Managers",1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.a,Realistic,OI,Occupational Interests,3.42,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.55,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.c,Artistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.d,Social,OI,Occupational Interests,2.05,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.e,Enterprising,OI,Occupational Interests,6.31,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.4,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3071.04,Supply Chain Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.a,Realistic,OI,Occupational Interests,1,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.44,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.49,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.d,Social,OI,Occupational Interests,3.69,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.56,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6,11/2023,Machine Learning
11-3111.00,Compensation and Benefits Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4,11/2023,Machine Learning
11-3121.00,Human Resources Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.09,11/2023,Machine Learning
